13 Research Papers vs LLM-Based Intelligent Customer Support Chatbot with Knowledge Retrieval,,,,,
,,,,,
,,,,,
#,Paper / Model,Reported Metric Used,Calculation,Comparison Score (%),Status
1,Lewis et al. (2020) – RAG,Open-domain QA EM,"Mean of 44.5, 56.8, 45.2, 52.2",49.68%,Derived from 4 standard QA results
2,Karpukhin et al. (2020) – DPR,Top-20 retrieval accuracy,"Mean of 78.4, 79.4, 73.2, 79.8, 63.2",74.80%,Derived across 5 datasets
3,Reimers & Gurevych (2019) – SBERT,Efficiency / maintained BERT accuracy,No single accuracy reported,,N/A – no single comparable accuracy
4,Johnson et al. (2017) – FAISS,Search speed,8.5× faster; not accuracy,,N/A – efficiency result
5,Guu et al. (2020) – REALM,Open-QA EM,"Mean of 40.4, 40.7, 46.8",42.63%,Derived across 3 benchmarks
6,Olujimi & Ade-Ibijola (2023),Systematic review,73 studies reviewed; no model accuracy,,N/A – review paper
7,Gao et al. (2023) – RAG Survey,Survey / benchmark review,No single model accuracy,,N/A – survey paper
8,Wang et al. (2024) – Best RAG Practices,Overall average score,Best-performance configuration: Avg = 0.483,48.30%,Paper's reported overall Avg
9,Es et al. (2024) – RAGAs,Agreement with human judgments,"Mean of 0.95, 0.78, 0.70",81.00%,Derived mean of 3 reported accuracy agreements
10,Li et al. (2024) – SELF-ROUTE,Average benchmark performance,Gemini-1.5-Pro SELF-ROUTE = 46.41,46.41%,Paper-reported average score
11,González Juclà et al. (2026),Recall@10,"Mean across FIQA, SciDocs, Help Articles, HotpotQA: 65.7, 27.1, 69.4, 94.6",64.20%,Derived mean Recall@10; retrieval study
12,Xu et al. (2024) – KG-RAG,Retrieval metrics,"Mean of MRR@1, MRR@3, Recall@1, Recall@3, NDCG@1: 92.7, 86.0, 100.0, 86.0, 94.6",91.86%,Derived mean of reported retrieval metrics
13,Barrionuevo-Valenzuela et al. (2026) – Agentic-RAG,Comparative quality / relevance / accuracy,Paper reports improvement vs naïve RAG; no single percentage in abstract,,N/A – no single comparable score
14,LLM-Based Intelligent Customer Support Chatbot with Knowledge Retrieval,Composite project score,0.20×99.72 + 0.25×90.19 + 0.15×100 + 0.40×92,93.17%,
,,,,,
,,,,,
